"gene_id","species","expression_id","id_type","source_info","gene_name","hog_id","og_id"
"CAGL0B00528g","glabrata","CAGL0B00528g","CAGL0","original","","N1.HOG0004310","OG0004073"
"CAGL0B00550g","glabrata","CAGL0B00550g","CAGL0","original","","N1.HOG0001777","OG0001537"
"CAGL0B00594g","glabrata","CAGL0B00594g","CAGL0","original","","N1.HOG0004820","OG0004588"
"CAGL0B00616g","glabrata","CAGL0B00616g","CAGL0","original","","N1.HOG0000097","OG0000050"
"CAGL0B00638g","glabrata","CAGL0B00638g","CAGL0","original","","N1.HOG0004072","OG0003833"
"CAGL0B00660g","glabrata","CAGL0B00660g","CAGL0","original","","N1.HOG0001981","OG0001741"
"CAGL0B00682g","glabrata","CAGL0B00682g","CAGL0","original","","N1.HOG0002676","OG0002436"
"CAGL0B00704g","glabrata","CAGL0B00704g","CAGL0","original","PDI1","N1.HOG0000592","OG0000372"
"CAGL0B00715g","glabrata","CAGL0B00715g","CAGL0","original","",,
"CAGL0B00726g","glabrata","CAGL0B00726g","CAGL0","original","","N1.HOG0005898","OG0005762"
"CAGL0B00748g","glabrata","CAGL0B00748g","CAGL0","original","","N1.HOG0002762","OG0002522"
"CAGL0B00770g","glabrata","CAGL0B00770g","CAGL0","original","AUT4","N1.HOG0004311","OG0004074"
"CAGL0B00792g","glabrata","CAGL0B00792g","CAGL0","original","","N1.HOG0000429","OG0000245"
"CAGL0B00814g","glabrata","CAGL0B00814g","CAGL0","original","","N1.HOG0001870","OG0001630"
"CAGL0B00836g","glabrata","CAGL0B00836g","CAGL0","original","","N1.HOG0004024","OG0003785"
"CAGL0B00858g","glabrata","CAGL0B00858g","CAGL0","original","","N1.HOG0001795","OG0001555"
"CAGL0B00880g","glabrata","CAGL0B00880g","CAGL0","original","","N1.HOG0002033","OG0001793"
"CAGL0B00902g","glabrata","CAGL0B00902g","CAGL0","original","HIS4","N1.HOG0002328","OG0002088"
"CAGL0B00924g","glabrata","CAGL0B00924g","CAGL0","original","","N1.HOG0002548","OG0002308"
"CAGL0B00946g","glabrata","CAGL0B00946g","CAGL0","original","","N1.HOG0004821","OG0004589"
"CAGL0B00968g","glabrata","CAGL0B00968g","CAGL0","original","","N1.HOG0004056","OG0003817"
"CAGL0B00990g","glabrata","CAGL0B00990g","CAGL0","original","HBN1","N1.HOG0004457","OG0004221"
"CAGL0B01012g","glabrata","CAGL0B01012g","CAGL0","original","","N1.HOG0000066","OG0000034"
"CAGL0B01078g","glabrata","CAGL0B01078g","CAGL0","original","","N1.HOG0000442","OG0000255"
"CAGL0B01100g","glabrata","CAGL0B01100g","CAGL0","original","","N1.HOG0001122","OG0000883"
"CAGL0B01122g","glabrata","CAGL0B01122g","CAGL0","original","SAM1","N1.HOG0000631","OG0000410"
"CAGL0B01144g","glabrata","CAGL0B01144g","CAGL0","original","","N1.HOG0002495","OG0002255"
"CAGL0B01166g","glabrata","CAGL0B01166g","CAGL0","original","SWI6","N1.HOG0001905","OG0001665"
"CAGL0B01188g","glabrata","CAGL0B01188g","CAGL0","original","","N1.HOG0000859","OG0000627"
"CAGL0B01203g","glabrata","CAGL0B01203g","CAGL0","original","","N1.HOG0001221","OG0000982"
"CAGL0B01232g","glabrata","CAGL0B01232g","CAGL0","original","EMG1","N1.HOG0001604","OG0001364"
"CAGL0B01254g","glabrata","CAGL0B01254g","CAGL0","original","","N1.HOG0001269","OG0001028"
"CAGL0B01287g","glabrata","CAGL0B01287g","CAGL0","original","BUD5","N1.HOG0001340","OG0001099"
"CAGL0B01331g","glabrata","CAGL0B01331g","CAGL0","original","","N1.HOG0001127","OG0000888"
"CAGL0B01353g","glabrata","CAGL0B01353g","CAGL0","original","SPT20","N1.HOG0001096","OG0000857"
"CAGL0B01375g","glabrata","CAGL0B01375g","CAGL0","original","","N1.HOG0000837","OG0000605"
"CAGL0B01397g","glabrata","CAGL0B01397g","CAGL0","original","NOP8","N1.HOG0001332","OG0001091"
"CAGL0B01419g","glabrata","CAGL0B01419g","CAGL0","original","RIB4","N1.HOG0003013","OG0002773"
"CAGL0B01441g","glabrata","CAGL0B01441g","CAGL0","original","","N1.HOG0000864","OG0000632"
"CAGL0B01463g","glabrata","CAGL0B01463g","CAGL0","original","","N1.HOG0002623","OG0002383"
"CAGL0B01485g","glabrata","CAGL0B01485g","CAGL0","original","","N1.HOG0003839","OG0003600"
"CAGL0B01507g","glabrata","CAGL0B01507g","CAGL0","original","ARG8","N1.HOG0003435","OG0003195"
"CAGL0B01529g","glabrata","CAGL0B01529g","CAGL0","original","PEX7","N1.HOG0002572","OG0002332"
