Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048241.1-83,36,444
CP048241.1-84,39,402
CP048241.1-85,46,309
CP048241.1-86,31,523
CP048241.1-87,20,808
CP048241.1-88,37,432
CP048241.1-89,47,300
CP048241.1-90,26,635
CP048241.1-91,63,172
CP048241.1-92,86,82
CP048241.1-93,39,403
CP048241.1-94,52,250
CP048241.1-95,32,510
CP048241.1-96,4,1205
CP048241.1-97,12,1029
CP048241.1-98,90,69
CP048241.1-99,18,852
CP048241.1-100,28,589
CP048241.1-101,10,1083
CP048241.1-102,44,333
CP048241.1-103,46,310
CP048241.1-104,10,1084
CP048241.1-105,17,882
CP048241.1-106,35,462
CP048241.1-107,18,853
CP048241.1-108,28,590
CP048241.1-109,19,827
CP048241.1-110,48,294
CP048241.1-111,13,1001
CP048241.1-112,9,1111
CP048241.1-113,13,1002
