Bin index,yH298-parent-pool2_normalized,yH298-parent-pool2_normalized rank
CP048240.1-70,15,1136
CP048240.1-71,67,483
CP048240.1-72,167,77
CP048240.1-73,93,291
CP048240.1-74,82,363
CP048240.1-75,24,1021
CP048240.1-76,55,603
CP048240.1-77,104,234
CP048240.1-78,35,868
CP048240.1-79,18,1104
CP048240.1-80,22,1048
CP048240.1-81,38,825
CP048240.1-82,25,1011
CP048240.1-83,17,1117
CP048240.1-84,57,581
CP048240.1-85,25,1012
CP048240.1-86,49,676
CP048240.1-87,67,484
CP048240.1-88,146,110
CP048240.1-89,54,619
CP048240.1-90,15,1137
CP048240.1-91,66,491
CP048240.1-92,18,1105
CP048240.1-93,72,443
CP048240.1-94,20,1079
CP048240.1-95,34,882
CP048240.1-96,17,1118
CP048240.1-97,44,745
CP048240.1-98,29,953
CP048240.1-99,43,760
CP048240.1-100,20,1080
CP048240.1-101,11,1173
CP048240.1-102,18,1106
CP048240.1-103,35,869
CP048240.1-104,61,537
CP048240.1-105,42,778
CP048240.1-106,89,321
CP048240.1-107,86,340
CP048240.1-108,3,1227
CP048240.1-109,32,908
CP048240.1-110,26,996
CP048240.1-111,88,325
CP048240.1-112,53,634
CP048240.1-113,31,920
CP048240.1-114,15,1138
CP048240.1-115,78,396
CP048240.1-116,31,921
CP048240.1-117,82,364
CP048240.1-118,70,459
CP048240.1-119,30,938
CP048240.1-120,74,426
CP048240.1-121,31,922
CP048240.1-122,36,851
CP048240.1-123,33,892
CP048240.1-124,32,909
CP048240.1-125,28,962
CP048240.1-126,106,225
CP048240.1-127,94,288
CP048240.1-128,33,893
CP048240.1-129,75,420
CP048240.1-130,7,1205
CP048241.1-0,11,1174
CP048241.1-1,22,1049
CP048241.1-2,99,260
CP048241.1-3,48,691
CP048241.1-4,64,503
CP048241.1-5,72,444
CP048241.1-6,26,997
CP048241.1-7,111,201
CP048241.1-8,15,1139
CP048241.1-9,108,215
CP048241.1-10,34,883
CP048241.1-11,118,180
CP048241.1-12,21,1064
CP048241.1-13,17,1119
CP048241.1-14,28,963
CP048241.1-15,50,662
CP048241.1-16,28,964
CP048241.1-17,18,1107
CP048241.1-18,113,194
CP048241.1-19,8,1194
CP048241.1-20,5,1216
CP048241.1-21,14,1148
CP048241.1-22,135,135
CP048241.1-23,10,1181
CP048241.1-24,25,1013
CP048241.1-25,21,1065
CP048241.1-26,11,1175
CP048241.1-27,44,746
CP048241.1-28,21,1066
CP048241.1-29,44,747
CP048241.1-30,15,1140
CP048241.1-31,9,1188
CP048241.1-32,19,1091
CP048241.1-33,40,799
CP048241.1-34,27,984
CP048241.1-35,111,202
CP048241.1-36,48,692
CP048241.1-37,55,604
CP048241.1-38,78,397
CP048241.1-39,44,748
CP048241.1-40,53,635
CP048241.1-41,12,1163
CP048241.1-42,42,779
CP048241.1-43,36,852
CP048241.1-44,55,605
CP048241.1-45,71,450
CP048241.1-46,91,304
CP048241.1-47,101,249
CP048241.1-48,56,592
CP048241.1-49,85,350
CP048241.1-50,81,370
CP048241.1-51,51,652
CP048241.1-52,25,1014
CP048241.1-53,7,1206
CP048241.1-54,58,563
CP048241.1-55,47,706
CP048241.1-56,34,884
CP048241.1-57,79,391
CP048241.1-58,54,620
CP048241.1-59,30,939
CP048241.1-60,32,910
CP048241.1-61,73,434
CP048241.1-62,37,837
CP048241.1-63,33,894
CP048241.1-64,51,653
CP048241.1-65,56,593
CP048241.1-66,77,405
CP048241.1-67,63,512
CP048241.1-68,95,280
CP048241.1-69,92,295
CP048241.1-70,32,911
CP048241.1-71,25,1015
